id,concat_comments
722844636,Pans and plates a little wet or not entirely clean
722574360,Floors were dirty and sticky  Left my socks unusually soiled   The drawers in the bedroom were dirty inside  The drawers in the kitchen had sticky food stuck in them  The oven mitts were soiled with red sauce  The countertops had debri on them 
722399430,Not enough adequate cooking supplies to make food easily 
722173416,Bathroom door handle was broken and I got stuck in the restroom for an hour 
722022075,Food was in the fridge from the people before us  and a decent amount of hair on bathroom floor
721528184,Dishes weren t clean  clear lip marks on wine glasses  which is concerning due to COVID 
720137267,Space had lingering smell of cigarettes  perhaps marijuana  Walls are in need of touchup paint  Perhaps a more durable sofa would be appropriate  What is there has clearly seen brighter days 
719203323,Place was not clean by time my check in  Was ready by     pm 
718829128,Duvet on the bed already had hair   fibers on it when I checked in 
717674699,Bathroom drawers
717408781,There was hair all over the inside of sheets and pillows   Dirty pots and pans  food left in microwave 
716960319,There were used wash clothes hanging in the shower  My pillows were incredibly sweating and musty smelling 
616427415,The unit was not clean after the previous guest left  The linens were not changed and the bathroom was full of hairs from the previous guest  We had to buy our own toilet paper
624952307,Cabinet
715240727,Left behind clothes near washer dryer
714554975,Cleaner showed up during our  pm check in to bleach the mildew mold in the shower  The entire unit was left smelling strongly of bleach for our first evening
441243680,Bathroom was great  But there was an issue with the toilet and the fact that maintenance wasn t available was the only down side
617317015,Bathtub wasnt clean  Inside of microwave wasnt clean  The refrigerator wasnt clean neither was the bed sheets blanket or the hangers  So much more besides an unclean room has made this the trip from hell 
615861615,The towels had a pungent smell of cigarettes  The place itself was clean 
712475189,whole place smelled if cigarette smoke  walls were browned and chairs had grease spots   had to leave because it was not worth the money
712364327,The floor and main carpet are really dirty  Didn t appear to be clean before we arrived 
711276735,Some dirty dishes pans in the cabinet and the electrical kettle had old tea in it in the cabinet 
710766207,Master bedroom shower door  caulk was loose   Sides of stove top were dirty
438842802,The furniture and the rug in the common area was not completely clean  there were small hairs  and residue on the window area and table  not wiped down   In the bathroom  the shower lining curtain was a little dirty  Couch could have been vacuumed and touched up a little more as well 
710063129,Bedrooms could have been cleaner  Sheets look like they were used and not washed  also had stains on them  Dust build up and spider webs under beds and around room corners  Also the shower could have been clean better  I saw hair from prior guest on the walls and in the window sill 
709220551,The dishwasher was really dirty and smelled horrible because of sitting water at the bottom  and looked like it hadn t been used in a while  Also some of the blankets had some permanent stains that seem like wouldn t come off just by washing it 
708330811,When I first arrived  the room had not been clean  There was scum and leftover waste in the toilet  The sheets had not been changed  Towels from the past person were still hanging and the floor had not been clean 
611314369,Dishwasher was still running when I checked in
707150718,Glassware in cabinets was all dirty  had to run them through the dishwasher before use 
626688366,The bathroom smelled like sewage and we had to close the door to the bathroom or else the whole apartment stank  Kitchen had some half used food supplies from previous occupants 
435834050,Little bit of hair in the shower 
722014033,There was strands of hair in between the sheets on the bed and on the gray vent in the bathroom  The floors were pretty dusty 
721220616,Absolutely disgusting  Clearly no vacuum from last guess and clearly no disinfectant wipe down to counters  doors  ect  There was hair on our pillow cases and the couch was greasey with stains all over it  The bathroom had pubic hairs on the floor 
719435899,Mold in bathroom  plus smelled like smoke   tub didn t drain while showering     overall really unpleasant bathroom experience
606791298,The floors didn t looks like they were swept very well  There was drywall dust still on floor in several places 
719425392,The comforters were damp wet still 
717656930,the rugs seemed to not have been vacuumed  the bathroom toilets and showers were not as clean as I would have thought  the fridge was also pretty dirty  all of the glass windows were dirty as well 
716876108,Unwashed dishes in the sink and dishwasher
716091965,It was a small hair ball of hair stuck to the inside of the bathroom sliding thing
715773558,Bathroom was still dirty  stains all over  But still great experience
714715335,The apartment could have been cleaner  and walls clean a painted 
713813324,Arrived late after a   hr drive   still needed to clean for   hours  washing all linens  disinfecting surfaces  before I felt comfortable sleeping there 
713310066,Countertops had sauce on them  Dining room table had streaks and rings 
712867405,the kitchen had been thrown together  missing basic stuff  and the clean supplies fell out at us upon opening a cabinet  the bedroom had a window open that couldnt shut and what looked like a swiffer pad attempting to cover an opening while the AC unit barely hung in the window  it also smelled of smoke when we entered 
712843666,kitchen   oven was dirty bathroom   shelf in shower had standing water  a little mildew y 
712388294,It was all clean except it smelled like cigarette smoke when we went in 
